Metric,Metric Id,Item,Item Id,Region,Region Id,Partner Region,Partner Region Id,Unit,Unit Id,Frequency,Frequency Id,Start Date,End Date,Value,Source
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,8/1/2008,8/31/2008,92.83172499,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,9/1/2008,9/30/2008,113.0295719,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,10/1/2008,10/31/2008,100.4199803,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,11/1/2008,11/30/2008,105.6719965,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,12/1/2008,12/31/2008,100.3194598,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,1/1/2009,1/31/2009,100.946443,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,2/1/2009,2/28/2009,102.5564076,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,3/1/2009,3/31/2009,142.6378554,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,4/1/2009,4/30/2009,133.3801101,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,5/1/2009,5/31/2009,103.106988,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,6/1/2009,6/30/2009,98.75815254,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,7/1/2009,7/31/2009,103.861767,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,8/1/2009,8/31/2009,106.5283188,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,9/1/2009,9/30/2009,90.3531409,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,10/1/2009,10/31/2009,120.7614643,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,11/1/2009,11/30/2009,109.5370333,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,12/1/2009,12/31/2009,101.769076,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,1/1/2010,1/31/2010,100.5004284,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,2/1/2010,2/28/2010,102.119612,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,3/1/2010,3/31/2010,98.78620222,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,4/1/2010,4/30/2010,81.66051702,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,5/1/2010,5/31/2010,99.51510363,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,6/1/2010,6/30/2010,101.3625179,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,7/1/2010,7/31/2010,102.6687588,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,8/1/2010,8/31/2010,110.1083082,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,9/1/2010,9/30/2010,131.8659138,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,10/1/2010,10/31/2010,143.0411016,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,11/1/2010,11/30/2010,106.825733,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,12/1/2010,12/31/2010,101.0227921,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,1/1/2011,1/31/2011,100.730883,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,2/1/2011,2/28/2011,102.2390406,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,3/1/2011,3/31/2011,135.599401,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,4/1/2011,4/30/2011,149.4315629,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,5/1/2011,5/31/2011,108.6973269,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,6/1/2011,6/30/2011,103.3491291,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,7/1/2011,7/31/2011,102.6528045,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,8/1/2011,8/31/2011,105.5380525,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,9/1/2011,9/30/2011,110.819414,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,10/1/2011,10/31/2011,136.0164702,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,11/1/2011,11/30/2011,114.7939163,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,12/1/2011,12/31/2011,101.2901432,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,1/1/2012,1/31/2012,100.472723,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,2/1/2012,2/29/2012,102.0578145,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,3/1/2012,3/31/2012,119.2147576,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,4/1/2012,4/30/2012,103.8434415,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,5/1/2012,5/31/2012,100.4595984,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,6/1/2012,6/30/2012,103.4530478,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,7/1/2012,7/31/2012,96.80543841,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,8/1/2012,8/31/2012,97.61882797,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,9/1/2012,9/30/2012,115.6606341,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,10/1/2012,10/31/2012,116.7616685,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,11/1/2012,11/30/2012,119.9811245,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,12/1/2012,12/31/2012,102.3774109,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,1/1/2013,1/31/2013,101.2561116,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,2/1/2013,2/28/2013,102.3941232,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,3/1/2013,3/31/2013,130.0146294,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,4/1/2013,4/30/2013,138.059804,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,5/1/2013,5/31/2013,98.38283457,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,6/1/2013,6/30/2013,94.60417475,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,7/1/2013,7/31/2013,106.8788712,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,8/1/2013,8/31/2013,108.2212048,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,9/1/2013,9/30/2013,121.4166673,"FEWS NET ET Anomaly, Gro Intelligence"
Evapotranspiration difference from 10-yr median (2003-2013),15852239,Evapotranspiration,4395,Alberta,10556,,,percent,103,monthly,6,10/1/2013,10/31/2013,136.4662621,"FEWS NET ET Anomaly, Gro Intelligence"
